conf,name,peak_n,x_peak,y_peak,ring_size,cos
850, db-crack-300K-001,1,3.82,0.63,6,0.94
850, db-crack-300K-001,2,4.62,0.33,6,0.94
850, db-crack-300K-000,1,3.94,0.96,7,0.94
850, db-crack-300K-000,2,4.89,1.04,7,0.94
00,  db-crack-300K-005,1,4.08,1.77,5,0.99
00,  db-crack-300K-005,2,4.84,2.89,5,0.99
00,  db-crack-300K-006,1,4.06,1.30,5,0.92
00,  db-crack-300K-006,2,4.59,1.38,5,0.92
752,db-cracka-300K-000,1,3.91,0.76,6,1.00
752,db-cracka-300K-000,2,4.55,0.27,6,1.00
700,db-cracka-300K-000,1,3.89,0.70,6,1.00
700,db-cracka-300K-000,1,4.63,0.30,6,1.00
750, db-crack-300K-000,1,3.93,0.69,7,0.84
750, db-crack-300K-000,2,4.69,0.34,7,0.84
750, db-crack-300K-001,1,3.88,0.86,5,0.98
750, db-crack-300K-001,2,4.71,0.97,5,0.98
300, db-crack-300K-000,1,4.13,2.02,7,0.99
300, db-crack-300K-000,2,4.91,3.26,7,0.99
