,strain,k_spring,PotEng,G,G/Gc
0,0.1,0.1,3.9469362912,2.9823437275,0.409800205606
1,0.1,0.2,6.75552811966,5.10454322725,0.701409044424
2,0.1,0.3,8.84496084392,6.68333906267,0.918349450051
3,0.1,0.35,9.69977381903,7.32924412078,1.00710247445
4,0.1,0.4,10.4560230515,7.90067344936,1.0856218799
5,0.1,0.45,11.1271138734,8.40775624867,1.15529950744
6,0.1,0.5,11.7302605521,8.86349978783,1.21792266999
7,0.1,0.6,12.7659550946,9.64608073026,1.32545616057
8,0.1,0.7,13.618897165,10.2905721144,1.41401493376
9,0.1,0.8,14.3368739269,10.8330823893,1.4885606074
10,0.1,0.9,14.9474432894,11.294434581,1.55195444805
11,0.1,1.0,15.4728049875,11.6914030268,1.60650139687
12,0.1,1.1,15.9296672192,12.0366126047,1.65393622294
13,0.1,1.2,16.3305494838,12.339523171,1.69555879354
14,0.1,1.3,16.6850729643,12.6074045859,1.73236805128
15,0.1,1.4,17.0007864414,12.845960782,1.76514776655
16,0.1,1.5,17.2836970144,13.0597307826,1.79452164098
17,0.1,1.6,17.5386566837,13.2523808063,1.82099344523
18,0.1,1.7,17.7697845543,13.4270232896,1.84499085535
19,0.1,1.8,17.9798623155,13.585760104,1.86680268696
20,0.1,1.9,18.1718148987,13.7308013563,1.88673262812
21,0.1,2.0,18.3478843469,13.8638411562,1.90501346438
22,0.1,3.0,19.5416895072,14.7658920304,2.02896317222
23,0.1,4.0,20.194346594,15.2590461188,2.09672687262
